"Full_Address","latitude","longitude"
"1949 AIRPORT RD, COLUMBUS, MS 39701",NA,NA
"9 INDUSTRIAL ROAD, BELMONT, MS 38827",34.4885012,-88.2068477
"S CITY LIMITS RD, ISOLA, MS 38754",NA,NA
"S CITY LIMITS RD -, ISOLA, MS 38754",NA,NA
"299 SOUTH ST, ISOLA, MS 38754",33.2562327,-90.5893541
"3000 CONTINENTAL PARKWAY, CLINTON, MS 39056",NA,NA
"5035 HWY 61 S, VICKSBURG, MS 39180",NA,NA
"100 MILL RD, JONESTOWN, MS 38639",34.3209373,-90.4593449
"100 MILL STREET, JONESTOWN, MS 38639",NA,NA
"1900 1/2 ROSA STREET, PICAYUNE, MS 39466",30.5213127,-89.69267
"600 3RD AVE, HOUSTON, MS 38851",33.9082153,-89.0076725
"600 3RD AVE -, HOUSTON, MS 38851",33.9082153,-89.0076725
"10043 SOUTHPARK DR, GULFPORT, MS 39503",30.4298645,-89.0350192
"195 CROWN RD, BATESVILLE, MS 38606",NA,NA
"1299 PRISOCK RD, JACKSON, MS 39272",NA,NA
"5935 HIGHWAY 493, DE KALB, MS 39328",NA,NA
"5835 HIGHWAY 493, DE KALB, MS 39328",NA,NA
"219 LANDRUM RD, DURANT, MS 39063",NA,NA
"219 LANDRUM RD -, DURANT, MS 39063",NA,NA
"823 HIGHWAY 15 NORTH, NEW ALBANY, MS 38652",NA,NA
"3262 INDUSTRIAL ROAD, HERNANDO, MS 38632",NA,NA
"CHARLIE D FORD JR DR, COLUMBUS, MS 39701",NA,NA
"139 EVANSTON ROAD, LUCEDALE, MS 39452",30.914037,-88.555634
"941 S MAGNOLIA DR, WIGGINS, MS 39577",30.8445771,-89.1368396
"1095 INDUSTIRAL DRIVE, HAZLEHURST, MS 39083",NA,NA
"1096 MENDELL DAVIS DR, JACKSON, MS 39272",NA,NA
"TUNICA INDUSTRIAL PARK, TUNICA, MS 38676",NA,NA
"6699 I 55 SOUTH, BYRAM, MS 39272",NA,NA
"2399 MUNSFORD DR, NEW ALBANY, MS 38652",34.5099124,-89.0392781
"6699 INTERSTATE 55 SOUTH FRONTAGE ROAD, BYRAM, MS 39272",NA,NA
"7685 KILN DELISLE RD, PASS CHRISTIAN, MS 395710430",NA,NA
"14877 HIGHWAY 45 SOUTH BYPASS, MACON, MS 39341",NA,NA
"88 ARMORY RD, VICKSBURG, MS 39183",NA,NA
"200 COUNTY ROAD 565, RIPLEY, MS 38663",NA,NA
"212 CDF BLVD, SHANNON, MS 38801",NA,NA
"212 CDF BLVD., VERONA, MS 38801",NA,NA
"21 MORAN RD., NATCHEZ, MS 39120",NA,NA
"6800 STENNIS BOULEVARD, MOSS POINT, MS 39562",NA,NA
"35 CR 370, IUKA, MS 38852",NA,NA
"1833 HAINING RD., VICKSBURG, MS 39180",32.3800456,-90.8685045
"2611 HAINING RD, VICKSBURG, MS 39183",32.387815,-90.9075937
"TRI STATE COMMERCE PARK 751 CR 989 BUILDING 1026, IUKA, MS 38852",NA,NA
"9098 EASTSIDE DR EXT., NEWTON, MS 39345",NA,NA
"334 AVE A AIRBASE, LAUREL, MS 39440",NA,NA
"334 AVE A AIRBASE -, LAUREL, MS 39440",NA,NA
"7046 STATE LINE RD, OLIVE BRANCH, MS 38654",34.9913202,-89.8661805
"2015 W RIVER RD, GREENWOOD, MS 38930",NA,NA
"2015 W RIVER RD -, GREENWOOD, MS 38930",NA,NA
"239 69TH AVE, MERIDIAN, MS 39307",32.3587447,-88.7493734
